clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
clear: 1,  matching: 0,   gate_num: 1
